"Tautība";"Vecuma grupa";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"25–29 gadi";1557;1425;1373;1431;1470;1348;1374;1660;2141;2474;2418;2665;3809;4089
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"30–34 gadi";1405;1336;1365;1435;1457;1515;1544;1708;1924;2078;2054;2277;3324;3440
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"35–39 gadi";1406;1329;1291;1326;1329;1360;1374;1498;1741;1887;1993;2161;3197;3211
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"40–44 gadi";1753;1455;1334;1280;1279;1357;1311;1376;1536;1613;1659;1782;2669;2836
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"45–49 gadi";2217;1982;1835;1691;1567;1507;1393;1339;1373;1434;1444;1546;2201;2358
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"50–54 gadi";2238;2144;2044;1993;1974;1885;1814;1730;1703;1609;1580;1537;1937;1894
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"55–59 gadi";1812;1783;1856;1903;1902;1951;1994;1946;1962;1981;1914;1858;2121;2046
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"60–64 gadi";1494;1531;1581;1582;1526;1564;1622;1743;1804;1849;1885;1953;2227;2165
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"65–69 gadi";900;857;892;1023;1182;1303;1366;1426;1432;1401;1461;1519;1819;1835
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"70–74 gadi";1025;1030;1011;905;817;758;724;759;890;1048;1158;1223;1443;1418
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"75–79 gadi";567;574;653;726;770;802;832;804;726;660;620;598;694;811
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"80–84 gadi";397;387;371;380;404;399;426;478;512;556;596;588;632;585
"Citas tautības, ieskaitot neizvēlētu un nezināmu";"85 gadi un vairāk";232;239;241;257;264;301;329;329;342;347;352;370;426;450
